org:role;slp:resource_uri;org:postIn
1b165c81-30d1-495d-a0e1-8a8f04723a97;83336c97-927d-4b40-a65b-92d3ea833c83;7b21152e-df61-11e7-bdcf-c82a144c0a85
b80e02d6-b0ac-460d-98eb-74954eb08251;24cf8712-6786-48c6-bb67-b9497af74a99;7b212e92-df61-11e7-aaf4-c82a144c0a85
e76c6f78-3e74-43f4-ba6f-41de575923b2;2c9d2a8f-cd9e-4f94-bd28-2bea5fd44bc4;7b210cfa-df61-11e7-9864-c82a144c0a85
6bd963f6-e639-4510-802b-e1211362c6c8;2ddc7d12-a3ea-472d-8665-aa67d523eed5;7b2139c8-df61-11e7-8d64-c82a144c0a85
9b0cd2bb-9493-4659-8237-c1c58679b778;bbae6016-9377-4cd3-91c6-f31ce0cb65f6;7b212b86-df61-11e7-9f98-c82a144c0a85
ed1bb8e7-a3fa-4e6c-b214-a8a647472ba7;a8172397-04d7-4809-bf40-58ea285eee9d;7b214aa8-df61-11e7-a515-c82a144c0a85
11be7e5a-9e7c-476f-95a6-5a52ea6da160;c891cf03-4a00-47c3-93b9-27685026b62c;7b20ed7e-df61-11e7-bb65-c82a144c0a85
cc82d67d-4302-4c53-ac73-001d83600a52;10af4d1b-a36e-4b37-8e4d-d234d175d1f2;7b2138a6-df61-11e7-baf1-c82a144c0a85
4e585457-d435-4ce7-a7ec-864d9a410fc4;281d01b2-e8e2-4b90-adea-aa1b6ca5df16;7b210cfa-df61-11e7-9864-c82a144c0a85
c7ca79a8-49c9-47fc-a603-e4589fe06f24;04eb2d96-7259-4f46-bcb9-a17500c60175;7b21152e-df61-11e7-bdcf-c82a144c0a85
5b9a80ec-38ce-4c88-9e1c-b43f0d585b4f;ae3991f2-e51c-4c8e-98b4-46761fbc23c8;7b213c18-df61-11e7-9e2c-c82a144c0a85
a2aa9ccc-0788-4c52-aa53-6599af53a85c;9563d62c-d8c7-4a6d-8901-409e113d4b5d;7b21444a-df61-11e7-a137-c82a144c0a85
9c391ef5-6ab1-47b7-aca6-0f125edd581f;db556c66-e04c-4e9a-aa48-8b67849f33ef;7b2138a6-df61-11e7-baf1-c82a144c0a85
5a76fd92-c2b7-4ac3-9cf1-8e0c0591f90d;58d814b3-4b1f-41d7-8dcf-ff73e6ba5bd5;7b20f90c-df61-11e7-a941-c82a144c0a85
518825c6-f192-4405-823a-64a1d24fedf2;ac647171-61f5-4e11-829f-94f2f10632bb;7b2138a6-df61-11e7-baf1-c82a144c0a85
85b308c7-440f-4f28-82ad-53e16ec1be84;805c3362-f061-4e39-89e8-6397ab590d3f;7b2138a6-df61-11e7-baf1-c82a144c0a85
53fcfc30-1ce8-4879-9123-0f34d80d113d;5d4d0b6d-dcc8-4840-855b-307d919f7b74;7b210cfa-df61-11e7-9864-c82a144c0a85
3b4c7cef-08ce-40dc-bd17-02a67dc01e11;18fca2e8-a5bf-481d-b5a6-db322835370f;7b211a38-df61-11e7-b1b8-c82a144c0a85
41b5ef7f-9d27-46cc-8334-6da0cd49f4ed;ee7f2bc4-21ac-41b5-b5ee-b3a03df1e7f5;7b2107c8-df61-11e7-a617-c82a144c0a85
302479cc-2b90-43ee-952b-753cb330f0f3;3afd81b0-7282-4792-bb76-8470ca8a0132;7b2138a6-df61-11e7-baf1-c82a144c0a85
36f86ae5-153b-43ce-94c7-f95141ac4a7a;56851cc5-3e12-4ecb-9f83-c9bf408fc3de;7b212e92-df61-11e7-aaf4-c82a144c0a85
2ad7f697-8f56-4656-9669-4f19b0e55220;01db3326-738f-4450-b0fd-ad826bbd4a50;7b2139c8-df61-11e7-8d64-c82a144c0a85
6ec065d2-01ab-453e-b741-aa4721733a4b;4d631bc9-9f7f-4e32-9268-779e5f3266cb;7b212e92-df61-11e7-aaf4-c82a144c0a85
