cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slnp:resource_uri
2015-01-30;AM;2011-02-01;c2c19f4e-e541-4035-a336-d5f67cb873ab;22a2ecf6-5f03-4da9-bc89-48319d152403;68e63a1b-1ad7-4241-9d1f-bafff681091a
2015-01-30;ES;2011-02-01;5c3cf9fd-1dcf-4068-a90d-67543884292e;22a2ecf6-5f03-4da9-bc89-48319d152403;8039297f-d2a6-4079-99b3-b7d75891b3d6
2015-01-30;GO;2011-02-01;acc34115-26ae-41c4-b6da-65f0924ec2dd;22a2ecf6-5f03-4da9-bc89-48319d152403;1d78bdfb-fcc0-4b3c-abbc-a30307235d9c
2015-01-30;RS;2011-02-01;1129fad3-8277-4882-985d-ba5e03e4e113;22a2ecf6-5f03-4da9-bc89-48319d152403;3cdf165a-ce14-4daf-8e7f-978bcda76886
2012-07-01;PB;2011-02-01;35c3db54-2a0f-4061-8936-1f257e3022fc;22a2ecf6-5f03-4da9-bc89-48319d152403;2b1265a4-28a6-44b8-b790-756a036b48d8
2015-01-30;PR;2011-02-01;faa2a676-62e6-4ec0-8958-9896c18535d9;22a2ecf6-5f03-4da9-bc89-48319d152403;a521eff8-e3f2-48e3-be30-897be24d6b16
2015-01-30;SC;2011-02-01;f8b5f5e7-67d6-4d77-a6ce-0743fa59313c;22a2ecf6-5f03-4da9-bc89-48319d152403;3690bf83-40f7-49db-9faf-212971e91502
2015-01-30;SE;2011-02-01;92677f41-f55e-44ca-8344-44ecd2d90af6;22a2ecf6-5f03-4da9-bc89-48319d152403;ca4b9335-c474-4893-8624-86fbf5ac6377
2015-01-30;RJ;2011-02-01;db66a9f8-eced-491d-bc1b-3801ece96a2f;22a2ecf6-5f03-4da9-bc89-48319d152403;e6f76d5b-b557-4e6c-b576-d48730a6b353
2011-05-01;SP;2011-02-01;5d0eba51-ca83-45ff-86ef-d40d0d7bb0df;22a2ecf6-5f03-4da9-bc89-48319d152403;fd4870be-ede6-4877-8384-838b4e596460
2015-01-30;MG;2011-02-01;be720e50-47d2-4967-8ccd-7747720f783a;22a2ecf6-5f03-4da9-bc89-48319d152403;f40147cc-0dd2-4618-983a-b656480f12a6
2015-01-30;DF;2011-02-01;99ff18aa-6200-49ec-8eb3-ce468e5994d8;22a2ecf6-5f03-4da9-bc89-48319d152403;1cb7e3d5-6ea3-403f-93ab-6a5bb31663a7
2011-02-28;RJ;2011-02-01;a82f0942-db7d-4e77-aaa3-96c35e9866ba;22a2ecf6-5f03-4da9-bc89-48319d152403;8e5f5067-bf12-4db7-8d17-fd0dc542dd48
2015-01-30;SP;2011-02-01;888e14c3-a3b0-4f74-8cf3-f5072c65a24c;22a2ecf6-5f03-4da9-bc89-48319d152403;404e3fd7-5e9f-448e-981b-c2f0859f5e17
2015-01-30;PE;2011-02-01;0e0c92bc-67a5-4675-9eb0-34aa25eebd4c;22a2ecf6-5f03-4da9-bc89-48319d152403;8be7cc2f-56b9-4564-8d23-233880d4a4c8
