org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;slp:resource_uri
1463e270-8982-41a1-b49d-2e7d8b3fcf98;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;489;PB;;2017-01-05;448cbdde-8e10-41b8-9ec3-317ce8982388
1463e270-8982-41a1-b49d-2e7d8b3fcf98;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;489;PB;2016-09-07;2011-11-08;01842a43-3856-417c-b617-1ffdf3ad10c7
bae7c446-d2a2-4598-9a5d-f84c08f3da7f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;438;MA;2012-11-04;2011-09-30;13bceafa-5ec6-4c1e-8c1e-655a985bc7e3
74af9456-e53c-4c9d-94e5-9a4d49309736;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;458;PI;;2011-02-01;8656910e-311b-4e0e-b5bd-318923a94057
1a3cdc05-19a5-48f3-818a-7fdb45c50a73;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2016-05-13;2014-07-18;c173a7c7-89c8-4ecb-b88b-ed7bf64a2f9b
1a3cdc05-19a5-48f3-818a-7fdb45c50a73;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2014-03-12;2012-12-17;1b8d3266-1b08-40ca-8561-d7040651cfc5
1a3cdc05-19a5-48f3-818a-7fdb45c50a73;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2012-08-08;2011-02-01;57f96e05-0415-4d56-8dc2-189449c128bd
5f5a6306-4d59-4d07-ab0e-3be8a0c04ed4;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2018-04-26;2016-05-15;193a3b03-f548-473b-b22e-e85fad1745a0
5f5a6306-4d59-4d07-ab0e-3be8a0c04ed4;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2014-07-17;2014-03-13;21c30686-0ca8-4c1c-b50e-fb503796ab66
5f5a6306-4d59-4d07-ab0e-3be8a0c04ed4;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2012-12-16;2012-08-09;314b6b55-3b51-43a5-bc8f-2612e0ffea59
536b597c-26a7-491d-9e1f-5ba597cc6b30;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;457;AL;;2011-02-01;66102dc0-10d9-417f-b9a6-c9bcb97c4615
e81a60a5-c083-4f5e-8f41-e920d3a0d448;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;435;MG;;2017-10-17;7bdc7a03-9bc6-4f85-af3b-d3ea101cfae3
e81a60a5-c083-4f5e-8f41-e920d3a0d448;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;435;MG;2017-09-28;2017-06-30;133b9f0f-6b80-4f19-8e9e-1da91294930c
e81a60a5-c083-4f5e-8f41-e920d3a0d448;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;435;MG;2017-05-18;2011-02-01;8cfc67c6-be1a-48f9-a0ab-79e8b7e989a9
