cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slp:resource_uri
;PSOL;;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;0f33746e-d32a-4833-a921-a0a7e67e7464;65735c51-cda0-4f3b-b604-fe1902c72b31
;PP;;84a09e64-bf05-49c3-b91c-ddfec4fee2e7;e43bd014-9c9f-4881-9956-db2b3b55eb2a;1b87af00-8bac-4bca-958a-ed416513935b
;PSB;;99b1944f-c6cd-4128-a4d3-15c7fb9aac78;36b7664a-81b0-4b27-a66e-4063e2f96349;708eb97c-4f3d-4bda-b11a-6dff8a8a6496
;PMN;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;4548f02f-b20d-48d9-94c1-3e67d379da1b;f3e58406-6c82-4178-9461-9c2db82f29df
;PMB;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;1c5c429e-046e-4710-86db-839748a5ebdd;1f187923-3dee-4e0c-b703-3544cfb53850
;S.PART.;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;6d9c1057-2c15-4ab2-b249-ff44418bde6b;c8302433-c605-48ce-a305-e7063fb8ed78
;PP;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;be24050f-3b66-42af-a85c-d9414e785950;60b6132c-6564-4476-8861-3c9abd2d8705
;PSB;;aca6b811-13f6-44ea-9a5a-c5282d37a2aa;75be45af-05be-43fe-ae57-c2964362defc;6ea08e5f-2b9d-48fe-954a-2ec7e4bd53ca
;PSB;;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;7377e310-92fc-475e-ab04-6d7bd0d37423;e4ce19ba-5162-4cf3-89f5-33b237ee6490
;PROS;;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;395fb667-05eb-4faa-bee4-fb72d55a7476;8c439765-0318-47f5-b720-a33ec3577343
;PRB;;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;f2764f28-1752-401d-b04f-ccc6143fcb38;bd7caad7-a42a-4761-a20c-e39a665c0424
;PP;;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;d9e5e608-2541-4e6f-9b52-d582c9330df7;ea71c97e-14e8-463f-b0a8-2463d7a20be3
;PSD;;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;45963e07-db8f-4a94-84d4-1e62ca3e7aad;f479cf96-24b6-4681-a428-aac1ec9e8a2a
;PTN;;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;b9fe38d5-1039-4d89-8d9e-39daec67ebd6;6cdb7076-ad75-43c1-a54b-3fe680e0ec90
;PODE;;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;7a74a6f2-16d5-4b1a-b957-112a3bbf8886;394a03ca-12f4-4e41-834f-fa3dc157b88d
;PT;;b004a190-744c-47e6-af4f-ddffd36adc96;57e21784-9ad3-4087-86ff-343c52451584;4406c907-d552-4603-a1ea-e10d97f3984e
;PCdoB;;99a43ef5-ded5-48bf-9792-dd1d74c5cd9c;97367f9b-0258-4bdc-bf30-56ccb31658ae;8c1878b9-4137-48de-8bcc-1f15cd8e35f0
;PTB;;9a5e3486-1552-476d-a619-fa898782adc3;8088c136-ad7a-4e9e-8a38-efdf8c3bb9a2;fc64393a-fcd9-4d6d-8019-a311ab1e5e1f
;PTN;;9a5e3486-1552-476d-a619-fa898782adc3;0d18f5c3-8f46-4085-aa12-622d7c866c74;2dd8c513-fcec-4096-9dba-fe136568fe0c
;PODE;;9a5e3486-1552-476d-a619-fa898782adc3;1f7d8f3a-8216-4e7d-ab73-7d0926007c7b;f71554ae-5245-4151-8255-a792d4814399
