cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slp:resource_uri
;PR;2015-02-01;019bceef-198c-4523-9df7-27c6f799e2f3;bbbe4992-14ea-4752-b8e6-b95e24315875;595c48a7-f3f9-4876-8fe9-bb4c43109da5
2016-03-15;PR;2015-02-01;242d389b-0cdc-4cad-a82c-38894ad7f4ed;634a7cd1-de91-4777-9f46-1d2c6ae5f849;463a944a-612f-420b-b7c5-4b2cb6a64b9b
;MG;2015-02-01;98c0948c-3ceb-43ef-aae1-e85ace650492;de39bac8-942f-4b4d-8822-091c63c6da76;1e6c6c0b-2f36-496e-a19b-fc81f1578378
;BA;2015-02-01;72830c60-2671-4d34-bf7f-ef5a2343fbd1;23c5c590-5625-4f17-afd7-77b7c4a2ecbc;989a03b5-0b3b-4868-97f0-97466635ac2a
2015-02-04;PE;2015-02-01;c71c538b-7d36-49a5-993f-87ba8ab7f21b;7dfc03a5-0263-4861-a21e-8b9a7da19e6c;2677a919-de86-4de9-88d0-4342471ca5f3
;RJ;2015-02-01;6f66ea40-59e1-4189-80fc-23d173cf7ed8;e6da0d49-3831-4ca2-952a-f12c1d359357;44cfefa2-b676-416d-bb6a-c51803612b0a
;MA;2015-02-01;860c9149-e090-4e92-bb09-ad0d8764fcbc;abc22e7f-c33a-48d1-93c4-ac1e61378b94;2eafe301-dd55-40f0-9658-26e7b230fa6b
;DF;2015-02-01;fcb6b195-b559-4e4d-a675-cacd00bd1c93;ae7c4652-43db-4583-9743-5d73072ca1eb;dc8d7fd4-b4ef-4709-a1d2-e37f5f0e1645
;AL;2015-02-01;7c1995e4-4dec-48be-b1c8-0f224542ba7b;c94c3c94-134b-4147-8ebe-8a946d224a3c;1b619344-dace-4c08-b0e1-15596d59d41b
;PB;2015-02-01;51a293ac-3ee1-4a95-ba1f-894abe55adbb;1f2f790c-d882-4ea4-acc4-68586e099e55;13bb9e54-0d28-493a-8828-06990c74f486
