org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2006-04-03;2005-10-04;PMR;7c09f357-c524-4d89-af13-024a096ba02f
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2005-09-28;2003-02-01;PL;a9c40ad2-63a9-4627-bfd2-3e2ea048a56d
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2015-09-03;PSB;b3a1f98b-dac0-4e3a-9a26-9c6990c15aea
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2015-06-09;1999-02-01;PSDB;3e437d4e-c883-4f42-8d2f-6db96768d0a5
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2015-09-25;PMDB;427ecacc-7fe2-4d12-8a16-8d6e2a29b163
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2015-05-05;2011-01-27;PT;564f8e60-9332-49cf-b6e6-9c7c1cc8a565
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2007-08-02;DEM;4fda2cf7-4090-4ea5-8eff-d5ee8f69c632
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2007-08-01;1999-02-01;PFL;cfdcae1b-37e3-4602-8084-e924e55cf7b4
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2007-02-01;PSB;9fcbfb6b-ff82-4cc6-8482-a664607df86c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2014-07-24;PDT;ebd21cb4-6880-440c-b977-f8eef5ebcb86
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2017-01-31;PSD;5b67fdff-bf9b-45a5-b649-5c08aa5c95bf
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-01-30;2015-02-01;PDT;cf834917-58ce-466b-98de-7cbf7e8461d0
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2008-05-06;PMDB;efb652bb-3271-4aed-af5b-ed1987f94d87
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2008-03-12;2008-01-30;DEM;51b6d4f1-f049-487d-9ae5-715a78f21dce
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-01-27;PMDB;530d043c-516b-4a51-b78a-60cb4d85468d
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2012-10-17;PPL;1212725e-2197-4f74-8d95-e9f1ba710a96
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2012-10-16;2011-02-03;PSDB;6db81566-c5d6-481a-9a35-2dddaea390ee
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1999-02-01;PMDB;f8b431f2-489f-4e9c-9615-2c3c9b1b9332
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2003-02-01;PSB;1a670009-3f46-4648-bfd3-f46ba88f70d3
