slp:resource_uri;NumeroLegislatura;cam:finishDate;cam:sigla;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;sen:CodigoMandato;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;sen:UfParlamentar;sen:finishDate;sen:startDate
4d9aa5a6-92db-4559-9239-a0c024fca691;;2016-08-01;;PB;2015-02-01;bd150be5-b552-4712-b1f5-10dfba06d9d2;c9297d91-06be-456e-8e5c-dc1e2461800a;;;;;;;
4cbad283-ea33-4e40-9557-66a07239ea11;;;;BA;2015-02-01;3a1fcdeb-6f59-4b90-a8f4-5bdf382f2720;c0703221-9422-4758-b0b2-1a2a83890929;;;;;;;
69890e70-cafc-46ea-94b3-1b344cce1496;;;;PR;2015-02-01;d463e31b-e886-4ebf-85db-fe6e4590d4e7;3370ca2d-823f-4a16-880b-120e621ee279;;;;;;;
27b701bb-7336-4f83-8b9b-163fddb2c27a;;;;MG;2015-02-01;0698edbc-7afe-458c-9a02-538d7f357b13;0aeac33b-7815-42d3-93d7-ff03a268a433;;;;;;;
a688b438-bb86-4562-87bb-693f1a15288e;;;;BA;2015-02-01;f560b04f-8439-4334-ae6c-f2686e605890;e14382f1-40e9-42df-a7c2-43083e08ad01;;;;;;;
2ed9f73e-494e-4381-a3b2-a57824349b49;;;;MG;2015-02-01;0b1d69e5-2912-4b72-a3e3-65c1d7c2d55b;4497a377-1a2b-410f-aa37-7ad8e6b0e539;;;;;;;
bea48802-a542-4cf9-bd36-69efa258dcd2;;;;SP;2015-02-01;86d9e3eb-d347-4b47-823e-8bebaf710e41;c4821bf8-2da8-443a-a1e2-ba5691c16b3a;;;;;;;
98d032ed-a903-4f93-8615-b5568da1b53b;;;;PE;2015-02-01;55fde404-e6b1-4455-817e-0271e56dfa88;3123c46b-de29-4a11-befc-08161b3a80ad;;;;;;;
697b54de-4693-4e05-a895-cb07175bd0ef;;2016-07-12;;SE;2015-02-01;17c7295e-824b-496f-b235-9c26a841aeda;ba3aadee-c489-402a-b70b-cc6c1170068f;;;;;;;
910de51f-fab2-4b45-8fa6-f6fd194c5a89;;;;PR;2015-02-01;3537b64c-c2ce-4abe-9a58-4a9dd967b0a3;f426e03a-9a4d-4d14-be3a-796327643158;;;;;;;
49a0cd63-92b6-4e49-8b6c-2b6f10352abd;;;;MG;2015-02-01;d2fbf58a-385d-498f-a17a-698a9b9afaed;35f03604-1fcb-4c36-b0d3-308e659f6459;;;;;;;
381f0581-8285-4f8d-88bc-327b4265b5f5;;;;MG;2015-02-01;79d1dc88-b446-48fa-bb5b-3368e237d25f;39b86d24-bba2-4fa6-8c67-aef5eb2909e2;;;;;;;
902575b8-3388-446a-aeac-2c6f396c9226;;2017-01-12;;BA;2015-02-01;a5254823-ec75-4d71-8c76-0cadd69fa2ca;9b2b4e03-2453-45a9-95d1-11a15733c629;;;;;;;
1193abf6-c854-4998-b9b9-7befed3c0a68;;;;PA;2015-02-01;bda06859-ee9d-4566-862d-4edf308703f6;6bb8a847-d969-4d42-8574-e5ab61efae42;;;;;;;
646b8b12-eabc-40a4-bdd8-721c5e2d4534;;;;RJ;2015-02-01;d87242cb-8084-42aa-88a0-0b600c41bc3c;9813c669-8210-479b-b8a8-904db4893c27;;;;;;;
c3795af4-455a-42bd-8c65-c6c7fdc6e36b;;;;SP;2015-02-01;c7b0f208-8316-4721-9b21-7ed1dd4d6cfe;59c5b248-36a5-46c4-91c6-2e1952603805;;;;;;;
e0590164-ed3f-4ae9-9c0e-5e8a981b5813;;;;PE;2015-02-01;b6c1f0a1-73db-4745-8204-9ff652978ddb;6e053545-68ce-4da8-84de-0b4c0fd3ee8b;;;;;;;
2184caf4-15a8-4827-bb58-3bb71fdb7b10;;;;RJ;2015-02-01;aef3c6ae-a8d9-4ab3-857b-6cee44563d5f;4e48d437-433b-4eec-8537-c923df85d734;;;;;;;
12309dbf-8b60-4851-a7b7-0eccb2ecc9bb;;;;AM;2015-02-01;de5d5e17-aacc-4e3c-a192-b3b005a7000c;5bd94c9b-afd4-4690-93d1-e1ffb33f44a5;;;;;;;
f9364704-e94b-4713-b2cb-2006c8310a01;;2015-02-04;;GO;2015-02-01;d41172e1-44e1-410b-ad9b-a39059c5f5d2;164785e1-6f47-4d83-8ed9-5c3d62872227;;;;;;;
518eb5e8-c9ab-4620-b1df-cd586c0f042b;;2016-08-15;;AC;2015-02-01;3386052b-c620-4cef-a856-75e245ddae67;82d68a80-ee69-4d43-9754-afa33798b223;;;;;;;
c0d45c01-d292-4f92-865f-936c9c33fd94;;;;RR;2015-02-01;8fd74653-fefb-43d2-b8f1-62244738a39e;0778610a-0436-42cd-aa38-b6da6d3ca717;;;;;;;
53c700da-1fb1-460b-96a0-186b110d8fed;;;;RJ;2015-02-01;a5648343-1a60-4282-8d6c-e579b121c77a;709aa04c-14f0-4a47-9c83-cdcfbb48e2f2;;;;;;;
813eefbc-57a1-42c4-8b56-3bdc1266aa7c;;;;ES;2015-02-01;b00dfba4-7a85-4913-982a-93934b985012;c79da5e7-e9bd-460a-808d-a67f81f707b3;;;;;;;
ab0939bd-e742-448d-90bb-29f9baec6523;;2015-02-09;;RJ;2015-02-01;e5c2e6a8-f90b-41d8-ac0e-039fa75c0cff;e0484aca-f9c4-4fec-8bbb-f887f3b1361b;;;;;;;
7bcddcef-b7db-48c7-bd4e-5d5243d06751;;;;RS;2015-02-01;9abc93c7-9a14-46c9-8091-815021bf42f7;2130741f-097e-4f28-bcd1-2b597bc6af36;;;;;;;
