finishDate;org:member;org:role;resource_uri;role;startDate
;67ccee0c-9a35-4379-96c6-0d94517240b1;6a688541-b16a-45ca-8aa9-fa700373279f;c35e0865-cd76-47a0-ab87-56df28ed7b6f;6a688541-b16a-45ca-8aa9-fa700373279f;2018-04-07
2018-04-06;67ccee0c-9a35-4379-96c6-0d94517240b1;6a688541-b16a-45ca-8aa9-fa700373279f;31744991-7b89-487c-8f15-ac442032c1c4;6a688541-b16a-45ca-8aa9-fa700373279f;2003-10-14
2003-10-13;67ccee0c-9a35-4379-96c6-0d94517240b1;6a688541-b16a-45ca-8aa9-fa700373279f;e2858aee-d659-42f4-ad4b-93059d8cae16;6a688541-b16a-45ca-8aa9-fa700373279f;2001-03-08
;15f6c4e1-7866-4d6b-8b06-c68b74f34280;6a688541-b16a-45ca-8aa9-fa700373279f;67fb4f2d-a83f-4ad1-82f9-d023383352a6;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;3ba55941-dc1f-418e-8dca-4c35d5d9d2ab;6a688541-b16a-45ca-8aa9-fa700373279f;bf7d8f79-d61e-4071-bed6-57f393b0d05c;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;72c0393e-79e4-4bf0-9bfb-0daeb5d20041;6a688541-b16a-45ca-8aa9-fa700373279f;97037254-c2a3-4d03-8864-6d1706b2dfb5;6a688541-b16a-45ca-8aa9-fa700373279f;2017-07-04
2017-07-03;72c0393e-79e4-4bf0-9bfb-0daeb5d20041;6a688541-b16a-45ca-8aa9-fa700373279f;9b42bf2e-1856-4577-be8f-bff481294a8c;6a688541-b16a-45ca-8aa9-fa700373279f;2013-10-02
2013-08-19;72c0393e-79e4-4bf0-9bfb-0daeb5d20041;6a688541-b16a-45ca-8aa9-fa700373279f;3d653c00-0c9d-4e6e-a7ab-bb0edc997f70;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-01
;84e4c713-a00a-49ae-a3e5-3d415fba8de5;6a688541-b16a-45ca-8aa9-fa700373279f;d7afc489-03f2-4ede-a1ed-2d7524c80476;6a688541-b16a-45ca-8aa9-fa700373279f;2003-05-14
2003-05-13;84e4c713-a00a-49ae-a3e5-3d415fba8de5;6a688541-b16a-45ca-8aa9-fa700373279f;fa38c81e-5151-4713-b913-058f5b780b7e;6a688541-b16a-45ca-8aa9-fa700373279f;1999-01-28
1999-01-27;84e4c713-a00a-49ae-a3e5-3d415fba8de5;6a688541-b16a-45ca-8aa9-fa700373279f;0b83736a-b79d-45b8-8700-9378b0b9cc79;6a688541-b16a-45ca-8aa9-fa700373279f;1995-02-16
1995-02-15;84e4c713-a00a-49ae-a3e5-3d415fba8de5;6a688541-b16a-45ca-8aa9-fa700373279f;cfd17540-4a8b-4d8b-b008-104f14c7f1e3;6a688541-b16a-45ca-8aa9-fa700373279f;1995-02-01
