org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-01;PMDB;2d830190-94cd-4a4f-b1dc-43e75166a7d9
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PDT;741d77f0-7403-45d0-b1df-510ce51f6b24
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1999-02-01;PSDB;535d6755-8339-4e97-8fa4-cf41ea3a2014
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PDT;40c8dcba-7be4-4909-bef1-02e73957c88b
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PP;0e63b0e7-7ef9-4045-8616-5385fbaa4270
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PT;5f188633-a135-4025-ae43-10cab88de899
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-09-25;PMDB;1b182c9d-dec4-422f-9a4a-f164f3c8654e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2015-09-24;2015-05-06;S/Partido;a2ac7d1a-8ec5-401b-bc1a-58b9c3b5f66f
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2015-05-05;2011-01-27;PT;e6b36913-6408-4c36-905f-05e851927c4e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;DEM;a249632d-feab-4812-890d-d02a4298744c
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PSB;cd12d1b5-f893-482d-8841-11a588e45dc8
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;DEM;46020120-06cb-44eb-b656-50b3700c8110
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PRB;797b108d-8a8a-484b-af36-8fc11c374322
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2004-12-16;PMDB;1d57b675-2944-4f5c-a39e-8c11fc0d638c
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2004-12-15;1999-02-01;PFL;32d9ecf9-345e-40bc-9e9d-1944f09bac7a
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-01-31;PSOL;58f97ad2-8511-49b5-8326-904e85b752ac
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PT;e5553afc-b1ca-491e-a5ff-be6e6a6b02d0
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PCB;75c9af62-d43d-47b9-b390-b51412c83c18
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2006-04-04;PRB;dbd78501-2550-4664-86b0-75d78dad5e22
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2006-04-03;2005-10-04;PMR;817ceca5-4bb8-4a35-ae3c-2066d7101b8b
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2005-10-03;2005-09-29;S/Partido;10b3c46d-7255-44e3-abf6-3b5df477d007
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2005-09-28;2003-02-01;PL;f4b80a1f-5ee1-4647-b04a-03768db679dd
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-12-01;PSC;d56ad022-1eae-48e0-b23e-4adfa83f52ca
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-01-31;2009-10-15;PSC;72cc00a0-cbb3-4b54-ac41-2c3db19c4dbb
