sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slp:resource_uri
5585;Luiz Carlos do Carmo;Luiz Carlos do Carmo;84f0b753-4bfd-4ba8-861e-120b634fa4d7
5104;Luis Cláudio da Costa Avelar;Luis Cláudio da Costa Avelar;712bd3d5-a4ea-40a7-a0d2-33df5c28b534
3695;Luiz Lindbergh Farias Filho;Lindbergh Farias;b98ec8d1-4549-470f-8374-366530628dbb
3579;Edison Lobão Filho;Lobão Filho;f4933a10-b1bc-46c2-a343-95708afcd127
5533;Lasier Costa Martins;Lasier Martins;62339ad5-d4b4-4020-ba26-d7cf4fdf1a05
5066;Juçara Feitosa de Oliveira;Juçara Feitosa de Oliveira;a212ab79-d828-47dc-a51c-975ff407b33f
1249;Kátia Regina de Abreu;Kátia Abreu;6dc5b084-b09c-4d62-8944-a44a4cd76d4b
415;Lael Vieira Varella;Lael Varella;89a0c997-19a7-4cb4-8de2-aa42d0be3a15
5158;Antonio Carlos Porto de Andrade;Kaká Andrade;ef74cc4d-6a3a-4064-a91b-c98678c6d365
916;João Batista de Jesus Ribeiro;João Ribeiro;f1457652-afbf-4a81-b6aa-b849dc561046
5166;João Costa Ribeiro Filho;João Costa;320311a6-d715-4964-879e-fb101fa402bc
3593;João Faustino Ferreira Neto;João Faustino;9bb51ba5-88b6-4ba3-b029-d9c49e6c3153
5613;João Batista da Rocha Lemos;João Batista Lemos;27f4d6c1-1037-4962-8f06-8be2aa125bda
3394;João Alberto Rodrigues Capiberibe;João Capiberibe;2e481b90-0e15-4db9-9b5f-610e172d594c
5186;João Claudino Fernandes;João Claudino Fernandes;24e9ce13-10bc-45c8-8e44-193ae4a05652
5184;José Ribamar Noleto de Santana;José Ribamar Noleto de Santana;cbe5f9ca-9957-4942-a6f7-f06b65c62214
950;João Alberto de Souza;João Alberto Souza;9e5aa786-11f0-4bf5-8a56-3c1602173afe
5036;José de Macedo Ferreira;José de Macedo Ferreira;ba68a161-21e0-41bd-83f7-79585009d217
90;José Serra;José Serra;a3548a4e-4ed4-499a-b4c8-56c6c17b1ca2
5180;José Rodrigues da Silva;José Rodrigues da Silva;e2a0c8c7-1425-4a92-bf48-39b6dc6ce113
615;José Barroso Pimentel;José Pimentel;c856cfc4-2e0c-4430-a10f-34dcb587d91b
5112;José Antônio Medeiros;José Medeiros;dfb1419a-ee09-449f-9952-4ed6b289f8ff
3361;José Targino Maranhão;José Maranhão;8c0a7b07-274e-49ef-8183-1b0f7d2a12d4
5030;José Givago Raposo Tenório;José Givago Raposo Tenório;87ae454d-d28f-4474-9f29-1bf19a2e4f5a
43;José Eduardo de Barros Dutra;José Eduardo Dutra;5c911422-7443-4bf0-8b11-9a520c8a27cb
5579;José Carlos de Moraes Vasconcellos Filho;José Carlos Vasconcellos;e356eb11-90f1-49a8-85d4-a8e16a95a17e
878;José Aníbal Peres de Pontes;José Aníbal;9f73ae11-6ff0-42e6-a8db-705a4692e0fa
5120;José Antonio Guidoni;José Antonio Guidoni;17031a44-b65f-4638-8662-b13bf6f8ce12
5188;José Amauri Pereira de Araújo;José Amauri;f97a73a1-03cb-4e32-a382-0177b258260f
5569;Jose Samuel Alcolumbre Tobelem;Josiel;170a5a8e-a899-4301-892a-da369771ab8f
5090;José Alberto Wenzel;José Alberto Wenzel;8de705cd-76c6-4ec6-8b16-c49344da6a6b
40;José Agripino Maia;José Agripino;39c6b124-452c-45dc-b123-941cce7dce31
4885;Jorge Yoshiaki Yanai;Jorge Yanai;6453f0e8-fe19-4ee2-9d4f-9fb5195fcfb2
5078;Jose Nagib da Silva Lima;Jose Nagib da Silva Lima;42942b1b-3180-4220-be4b-d0ae357a7bcd
5849;Jose Amauri P. de Araújo;;c8a41ec7-91f3-4ec5-bc52-f99a15c6a791
4990;Jorge Ney Viana Macedo Neves;Jorge Viana;cdd23e85-1be2-42cd-8d15-fa6e8ae93688
724;Joaquim Francisco de Freitas Cavalcanti;Joaquim Francisco;1b844d51-89e8-4960-b222-e1c8e4269d71
5609;Joel Malucelli;Joel Malucelli;08a8aedf-0d3c-422b-ba8a-30b9e3d5c0c6
5022;Janduhy Max Freire de Andrade;Janduhy Max Freire de Andrade;4bdb68bb-67ba-4542-85ca-e50313e18a2c
1754;Itamar Augusto Cautiero Franco;Itamar Franco;64c39b8a-65d1-41cb-ad5e-73718e9b8429
5418;Ivanci Magno;Ivanci Magno;2e839b46-2985-45f1-8ee2-579028dc3583
5004;Ivo Narciso Cassol;Ivo Cassol;e893c8c5-8204-4c2e-8a80-db4af33a6d00
5627;Jean-Paul Terra Prates;Jean-Paul Prates;903bab70-79f6-49d4-a465-7434d3a5236b
35;Jader Fontenelle Barbalho;Jader Barbalho;15fd8a0b-6a6f-41da-9320-c8fcb7401ea4
5100;Hélio José da Silva Lima;Hélio José;fdbec3a4-6ea1-4743-8806-d17e16eb68fd
5076;Ione Borges Ribeiro Guimarães;Ione Borges Ribeiro Guimarães;2471027a-8d8d-4150-b5f5-7548dd39049b
5008;Humberto Sérgio Costa Lima;Humberto Costa;d112789e-af4c-45e9-bdd7-12f8b50e1ced
5006;Gleisi Helena Hoffmann;Gleisi Hoffmann;8742ecd6-8801-4b45-b126-9d6ffb1b6945
5615;Gilberto Piselo do Nascimento;Gilberto Piselo;2a73a6c1-2d43-4cc2-8c68-5d28be3f5d29
4558;Gladson de Lima Cameli;Gladson Cameli;044dfb05-2187-418f-93b6-03fdced1ccf4
5128;Gino Jose Ferreira;Gino Jose Ferreira;9d34938a-1ddb-4cc5-8aa3-7a92026bb9e2
30;Gilvam Pinheiro Borges;Gilvam Borges;bfaebb8c-7001-4891-8dae-2baebdf2c3f0
5088;Gilberto Corazza;Gilberto Corazza;731d1acb-76a3-462d-92e0-916fd88825d9
87;Garibaldi Alves Filho;Garibaldi Alves Filho;a8779d4d-8fd1-4968-9f47-f94268ae3d0d
4522;Geovani Pinheiro Borges;Geovani Borges;fabc30fb-f72a-4fa2-9d9e-e9c989a18b20
5024;Gabriel Maia Gelpke;Gabriel Maia Gelpke;b6ab955e-56a9-4f12-bb33-1fcfad14ebc2
5416;Francisco Wilson Ribeiro;Francisco Wilson Ribeiro;969be6fb-f09a-4735-8d1a-ce460ca78a44
3713;Maria de Fátima Bezerra;Fátima Bezerra;a472089d-cb04-4332-a463-0e5891e9dc8f
5162;Félix Urano Gama de Souza;Félix Urano Gama de Souza;b3612600-4027-4431-9a83-e4241a75d5f3
5034;Fábio Luiz Araújo Lopes de Farias;Fábio Luiz Araújo Lopes de Farias;79242066-3f52-40f3-871d-c44944e4d96e
553;Francisco Garcia Rodrigues;Francisco Garcia;ae453ad6-3734-49d8-a595-f423cf4289a7
4873;José Eduardo Fleury Fernandes Costa;Fleury;5bc12883-ed16-4284-8193-d7fb143bf815
5054;Francisco Simeão Rodrigues Neto;Francisco Simeão Rodrigues Neto;8c11b7d5-83f4-4a24-a161-939637c4a033
3634;Fernando de Souza Flexa Ribeiro;Flexa Ribeiro;a84c8c2d-fbac-4939-8bf7-ecfdf86c252b
5577;Fernando Antonio Mendes Façanha Filho;Fernando Façanha;bd5af03f-18c9-4c1d-8791-b028bcc8e28f
2632;Fernando de Castro Ribeiro;Fernando Ribeiro;ee0b34a4-fcfb-4125-b639-bcccbc9f429d
5026;Fernando Carvalho Lage;Fernando Carvalho Lage;1a2d5bee-3a0d-427f-99b0-ef4d409d89a2
4525;Fernando Affonso Collor de Mello;Fernando Collor;85c147ec-1971-4285-bef3-c8e0fd9fe263
5540;Fernando Bezerra de Souza Coelho;Fernando Bezerra Coelho;bb7aae40-3619-41df-afe8-bbdea1744260
5581;Fadi Fayez Faraj;Fadi Faraj;00f3caaa-3e29-40a1-a479-8d6ff582af76
5126;Enivaldo Euzébio dos Anjos;Enivaldo Euzébio dos Anjos;c25cc8d1-68b1-4471-b37a-ff7187574ab8
5148;Elmiro Alves do Nascimento;Elmiro Alves do Nascimento;aef469d0-9c30-4a67-8729-4a3d0a4eee69
5605;Eliane Rodrigues de Andrade Ferreira;Eliane Rodrigues;9fdc072f-17be-4812-87f5-52ada4743c56
612;Eunício Lopes de Oliveira;Eunício Oliveira;c85bf7cf-7dfe-4459-9c32-764a957e5ac9
5531;Elmano Férrer de Almeida;Elmano Férrer;6a8fa67f-e57e-4598-ad06-acac1b5bd524
5064;Emir Simão Sader;Emir Simão Sader;03095b04-8eb3-4949-a805-7e07714562a6
5587;Eladio Barbosa Carneiro;Eladio Carneiro;8a421783-f64e-4cd3-899f-5f7c9f66b67d
5146;Elaine Matozinhos Ribeiro;Elaine Matozinhos Ribeiro;111ff5b1-cae7-4027-af0f-bff0712942fd
4969;Elber Batalha de Goes;Elber Batalha;f8c1d74d-3fdb-4eb4-a2f3-db6ee9d136a9
5160;Edivaldo Edilson Pantoja da Silva;Edivaldo Edilson Pantoja da Silva;f3d7cfad-396a-44cc-a97f-b65b2699b240
4767;Eduardo Benedito Lopes;Eduardo Lopes;15aa3075-606c-4f6d-8338-cec805a559e2
4721;Eduardo Alves do Amorim;Eduardo Amorim;9d6718be-563d-4566-91a7-98c21eb57881
4994;Carlos Eduardo de Souza Braga;Eduardo Braga;ec38a10a-bd5a-4ec2-8b19-40a4e557f28a
16;Edison Lobão;Edison Lobão;62380dd5-03c4-4d89-8702-0ac29e669a28
5561;Renilde Silva Bulhões Barros;Drª Renilde;8ac80504-47b1-4626-9c2a-8f3a5a3b45f1
5537;Dário Elias Berger;Dário Berger;6a5a9086-920f-4326-89a8-94c869c8f58c
5565;Francisco Helder Cavalcante Sousa;Dr. Helder Cavalcante;623a2e07-24b2-4098-b25d-936bb1a8c124
3399;Demóstenes Lazaro Xavier Torres;Demóstenes Torres;19356716-607b-4fff-948c-a2929e03d840
3360;Delcídio do Amaral Gomez;Delcídio do Amaral;0884d6a4-b499-4c3b-a42d-655056e0b43f
5199;José Gonzaga Sobrinho;Deca;a0f6a1f4-f806-4a95-aa53-aba155d0317e
5637;Divino Donizeti Borges Nogueira;Donizeti Nogueira;db9064b3-b63a-42b7-9682-5f4e45d6d9e0
5178;Douglas Mauricio Ramos Cintra;Douglas Cintra;da8f6023-85e8-4172-b688-07fb08460664
3830;David Samuel Alcolumbre Tobelem;Davi Alcolumbre;bee487dc-5e75-4ce5-9217-8b95259e8347
5132;Dalírio José Beber;Dalirio Beber;36898083-4c12-4b2b-9644-e2bd1c6687fa
5197;Cássio Rodrigues da Cunha Lima;Cássio Cunha Lima;0d8ab346-118f-4899-ae80-12f87e7d9b38
3881;Clovis Antônio Chaves Fecury;Clovis Fecury;36612ad6-d161-4313-9f6a-c271f7c3767d
5164;Ataídes de Oliveira;Ataídes Oliveira;1e5eb21e-8417-40f6-a752-257a4a0663e0
3398;Cristovam Ricardo Cavalcanti Buarque;Cristovam Buarque;6cb94dc5-e362-424c-8668-1ec6264116ef
5044;Clécio Luis Vilhena Vieira;Clécio Luis Vilhena Vieira;bd639a33-603c-423e-9cd6-58eaaedea23d
1757;Ivandro Moura Cunha Lima;Cunha Lima;cb71309d-f9f2-4ead-8e02-1791bc37bea9
5028;Armando José de Oliveira;Armando José de Oliveira;ba5dbe8b-81b6-430f-a978-8ffb9915462e
715;Armando de Queiroz Monteiro Neto;Armando Monteiro;7f149e0f-1888-47c1-8b2f-d8e528513386
