slnp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
d118837d-12bb-4b37-a264-e4facc1a4f58;;1939-08-13;141440.0;FRANCISCO LOPES DA SILVA;CHICO LOPES;;;
a37694df-ab76-46fd-bdc5-8b8625cb2525;;1982-07-02;178939.0;CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA;CLARISSA GAROTINHO;;;
8c1d008f-1cf7-497a-9369-fe01cc80a8ba;;1953-02-11;141439.0;FRANCISCO JOSÉ D'ANGELO PINTO;CHICO D'ANGELO;;;
19eaff28-3ded-4e14-a944-af29bfe76b3a;;1957-11-08;73720.0;César Antonio de Souza;CESAR SOUZA;;;
64418218-4c81-4a5b-a2f2-d871695b118a;;1960-02-23;178928.0;CHRISTIANE DE SOUZA YARED;CHRISTIANE DE SOUZA YARED;;;
e126580c-d055-4d70-b9c9-0c0a5c1e4731;;1958-07-05;178838.0;CARLOS CESAR CORREIA DE MESSIAS;CÉSAR MESSIAS;;;
957eeb8d-3576-4cfb-9ac6-13b1a1bf50ce;;1949-10-19;74171.0;FRANCISCO RODRIGUES DE ALENCAR FILHO;CHICO ALENCAR;;;
470ad20c-360c-4cdf-91e4-8818873c5299;;1954-03-10;160576.0;CESAR HANNA HALUM;CÉSAR HALUM;;;
c37e9887-d01e-4160-bb6d-6219d6364f41;;1956-08-20;73441.0;CELSO UBIRAJARA RUSSOMANNO;CELSO RUSSOMANNO;;;
c2fa1de0-3de1-4a78-bfb4-e9892a7bfd82;;1963-10-10;72912.0;CELSO PANSERA;CELSO PANSERA;;;
87f9454d-a219-4adc-887d-259bb99bd30b;;1973-04-18;160552.0;DANRLEI DE DEUS HINTERHOLZ;DANRLEI DE DEUS HINTERHOLZ;;;
ab8c3b74-4d53-4026-95a1-e26b2b052370;;1953-08-30;141405.0;CELSO MALDANER;CELSO MALDANER;;;
