cam:dataFim;cam:dataInicio;cam:siglaUFRepresentacao;org:member;org:post;org:postIn;org:role;slp:resource_uri
;2015-02-01;MA;7b9fcb0c-b186-4b43-b289-476c3a2960dd;fd4e21cd-7484-421d-ad22-9e4332647a96;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;90363bf8-3523-45a0-9558-1879f2e2a5be
;2015-02-01;SC;c3d3625e-ea63-4afa-8519-86cff2399cdf;5511a175-145a-414c-96ec-ed5e3cb03c40;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;a765660d-d46c-4152-80b9-c25b7d31fc3c
;2015-02-01;RN;8fa4ec72-82c0-4868-a76a-ed04e6e57caf;9ec33035-2cd2-4c4a-989c-390eabc2b8f1;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;519fd802-8e88-41c7-acda-20c407f274f0
;2015-02-01;MS;76097d2b-f224-4ccf-9005-c24f380cb13b;bfc27305-490c-4083-b6da-c8fd804c2781;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;ff1c2480-5f18-4aae-8c55-1a0073b73df3
;2015-02-01;SP;61884513-cd6d-445c-9a00-3ea457ecee26;746d358f-28e0-4a54-89bd-9d8e1cedf7a4;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;b96c0d29-7a3b-4d7e-a4ba-bf8202748bad
;2015-02-01;PE;975d7b68-4473-4651-a477-27517b8697bf;61d45292-0995-43bf-beaa-ebcc2c58bade;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;b5d7d1bc-b9a5-425e-b2e7-795b67004a3b
;2015-02-01;PA;ad6dcb7b-7111-4e00-8ea9-2b932c07f863;72c53889-ab80-4557-b676-fb6f714f8256;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;2923babe-8d46-4020-8b8c-4fde5425b1e6
;2015-02-01;MG;e9787dec-f1e0-4c2a-a554-ddb4cf785225;bb0408d4-c73a-4a27-89e3-6bdd5267be2f;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;0f96346e-e8da-4735-a748-e5800b3b2bbe
;2015-02-01;PA;89cd5a89-6ba4-42e4-b2c7-d514d5660239;4b4ee425-8dfc-4d8f-9c2e-f8049978b3b9;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;b12b5de2-2515-434a-9f4e-1078b32bebd2
;2015-02-01;PR;719ae20e-7c84-4767-8f1e-f6f0624cd5ea;d67389f9-4d65-409e-a660-127030e61ca1;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;650fb93e-ade9-4892-937c-5548415ba7ae
;2015-02-01;PE;fe1660c8-1e36-4a4d-a8cc-33b7b0922eb1;7465f616-e5e3-43bb-a3f2-d4e49fe07fc2;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;e6fb708a-cab4-4afd-b332-8540b35f947d
;2015-02-01;RN;ab9bb9f5-a5b7-4a7d-ad97-9ff6d82277e3;366e3d28-cc8d-4c9c-bad7-b86b772b10bd;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;ab8dfc6c-61f1-4919-b7ac-f5a3b1318016
;2015-02-01;PB;da0772a1-8e59-4d0e-ac25-846285ee4ff0;9f55b497-21d3-4779-aa81-316e46bf0c2a;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;f882b618-7529-49a6-abfc-1ac0ebf50c7d
2015-09-08;2015-02-01;MA;9baea0e6-e9df-4fb6-a04b-3ece7f0040b9;8cf5685c-cca2-4ba6-b496-4bdf3b1affdc;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;7b987994-b412-4476-a7f5-47dbc4433c3e
