cam:dataFim;cam:dataInicio;cam:sigla;org:member;org:post;org:postIn;org:role;slp:resource_uri
;;PSDB;0328f737-88fc-4325-9e2a-300cec9b9cae;c170b37e-fafc-4020-a49d-58eeb0d5bb1d;7b212e92-df61-11e7-aaf4-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1d5d638c-f1be-4920-8239-774f2a33bd8b
;;PSOL;31fbec5e-1e00-496c-a0f6-5d1e56c34cc5;88bb5845-0205-443a-a113-c8880dff9385;7b2132de-df61-11e7-8882-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;dfe5f9d2-9076-4041-8e34-b483e54e1fca
;;PP;15a7dab6-461f-4543-929c-93d2e6ed0069;90c750dc-fbcf-4501-b120-b071c28050ab;7b21152e-df61-11e7-bdcf-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;167fe21c-7078-48bc-9c5e-9e51d4069622
;;PV;fda9e9b6-791b-4063-92dd-942f1bd28e88;d345ecf8-6451-4953-9d96-72a4641a790e;7b2148e6-df61-11e7-b174-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;8d3a13d5-6693-4676-8e44-7cbd584b404d
;;PSDB;e4658aff-e9cd-49a5-a2c5-7c557baa744c;163805e6-a25d-46ec-b0e5-9c3ae6763bb2;7b212e92-df61-11e7-aaf4-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;28d8be68-cb51-4091-8fe6-d7c20d58a830
;;PPS;e4658aff-e9cd-49a5-a2c5-7c557baa744c;a452467b-6df5-45c8-8d59-34ac2e17037b;7b21193e-df61-11e7-8869-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;ee5e85fd-a55d-4eaf-affc-2a1004bb6ae4
;;PSDB;7dd105df-c756-44c3-9a42-7655937beeda;66f93fe7-a654-47de-85b0-05a5e3c2c681;7b212e92-df61-11e7-aaf4-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;c0309032-c55b-4e4a-b24e-1085ed36b8aa
;;PDT;ecbfdca4-942a-4477-80f1-5f6935e14eea;d47ffd0a-6852-4399-907c-4fb2889b89f2;7b210070-df61-11e7-97e9-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;5c84d025-e7c1-4c67-9aa9-d13b2347ee34
;;PSB;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;7587a3b8-80e7-4e4b-b279-4bff09099087;7b212b86-df61-11e7-9f98-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;c064c0de-ddc0-478c-92b1-8ba078221ac8
;;PSOL;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;a78eedc4-d681-45a0-8b49-648da3bd4792;7b2132de-df61-11e7-8882-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;65735c51-cda0-4f3b-b604-fe1902c72b31
