org:member;org:postIn;org:role;org:startDate;owner;resource_uri
916;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;df6420b5-9190-4842-870b-408308a8b18a
5158;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-07-24;4721;1fdfed4a-3b67-4e8e-9927-4446fbe027a9
3394;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-11-29;;2a0531c4-f8f2-4785-9150-26c2f883588f
5166;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2013-02-05;4763;b1cdbeb3-0745-4716-ae23-1b32f86c09bb
5166;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2012-10-17;4763;b1cdbeb3-0745-4716-ae23-1b32f86c09bb
615;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;0bca9214-8c4c-4ac7-a377-7ee621a871a8
950;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2012-11-05;;40000af7-f0db-46e6-afcb-7755ccd7baea
950;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;40000af7-f0db-46e6-afcb-7755ccd7baea
90;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-02-23;;ec26517c-0f6e-47e5-92c8-37af3fc72218
90;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;ec26517c-0f6e-47e5-92c8-37af3fc72218
5112;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-01-01;5010;e4e8be28-61e7-47cb-a4f0-46ccffd3a9ee
3361;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;540b4677-3362-4ef3-9fe4-ab6fc5d45593
878;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-05-17;90;ec26517c-0f6e-47e5-92c8-37af3fc72218
40;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;0fec0d44-4030-4a09-b2b1-c41f615644d1
4990;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;1ff4f122-7475-4fe7-b41e-a16ab94c0d01
35;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-04-07;;482464d7-f0b4-4bfb-9b08-d66004a758df
35;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-12-28;;482464d7-f0b4-4bfb-9b08-d66004a758df
5004;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-11-13;;a0e4d335-6ae6-4c3e-b71f-22ff85e63389
5004;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-11-14;;a0e4d335-6ae6-4c3e-b71f-22ff85e63389
5004;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;a0e4d335-6ae6-4c3e-b71f-22ff85e63389
1754;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;44504c10-8da9-4a26-af32-f112fb5f9b1e
5100;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-01-01;4593;aa83f904-3741-438a-997d-c0be780d1eec
5008;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;269acde8-addb-4356-b870-595ba2d3a7b4
5006;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-02-03;;1f53bc51-7110-43e9-a833-38506eace066
5006;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;1f53bc51-7110-43e9-a833-38506eace066
5615;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-09-08;4981;5f22b121-da16-4de2-9d31-70faa3804299
4558;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;0acde21f-6162-4e28-9831-3d917d91211b
4522;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-03-31;30;bb03dda2-7e0f-40a6-87b9-299da698f4a2
30;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-11-26;;bb03dda2-7e0f-40a6-87b9-299da698f4a2
30;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;bb03dda2-7e0f-40a6-87b9-299da698f4a2
87;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-01-01;;0fc29293-1d72-416d-a382-9890c4e9a7fe
87;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;0fc29293-1d72-416d-a382-9890c4e9a7fe
3713;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;9ec6d791-1b0a-4d24-a3b3-38a0d00bbe49
3634;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;cbd5486d-45d1-4f62-b077-f5f0900f9b07
5540;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;6c12ad0b-945a-41ce-a7a6-75c8b2a29d23
2632;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-01-30;35;482464d7-f0b4-4bfb-9b08-d66004a758df
612;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;cf7157ca-d6bb-42e0-b4fc-e2dffe2eafee
4525;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;a17ce027-7311-4d15-8f5c-acd7bf0abb09
4873;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-07-24;3399;1a150150-456f-46d9-b635-39d450f7794d
4969;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-11-22;3;2d1cbeeb-2586-4c80-ad7d-93aa9e53b0fa
5531;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;48dc0214-108e-4019-ad0d-9714a5c83b2d
4994;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-04-22;;e2591095-bb0d-42f3-9aba-13da277d7d0b
4994;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;e2591095-bb0d-42f3-9aba-13da277d7d0b
4721;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-11-22;;1fdfed4a-3b67-4e8e-9927-4446fbe027a9
4721;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2012-04-05;;1fdfed4a-3b67-4e8e-9927-4446fbe027a9
