sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slnp:resource_uri
3713;Maria de Fátima Bezerra;Fátima Bezerra;7dc7109f-5207-441c-9e63-215ffb1bc119
5034;Fábio Luiz Araújo Lopes de Farias;Fábio Luiz Araújo Lopes de Farias;22b4fe1a-7ef9-4df1-ae34-8a0970e9995f
5054;Francisco Simeão Rodrigues Neto;Francisco Simeão Rodrigues Neto;77cb5291-282f-4dda-a1dc-77363af5cbe9
5416;Francisco Wilson Ribeiro;Francisco Wilson Ribeiro;3ac8d08e-8625-413b-a04d-e7530c1db01c
553;Francisco Garcia Rodrigues;Francisco Garcia;c3efb213-2051-4a76-87a4-e3b2fd9a049a
3634;Fernando de Souza Flexa Ribeiro;Flexa Ribeiro;7c1e5b1c-6dfb-4252-84a6-5f775022115f
5540;Fernando Bezerra de Souza Coelho;Fernando Bezerra Coelho;ddc98eab-ba14-4da7-a6a2-e06ed8c55116
5577;Fernando Antonio Mendes Façanha Filho;Fernando Façanha;caeb975a-3960-47f7-bf4c-3ac8942a3ef8
2632;Fernando de Castro Ribeiro;Fernando Ribeiro;52af9e97-4094-45b5-af86-c0301ead9d1b
5581;Fadi Fayez Faraj;Fadi Faraj;a1016f2d-41e2-450b-af56-e05d868dc3a6
5026;Fernando Carvalho Lage;Fernando Carvalho Lage;ab429d11-1b08-4037-9f66-abe32e930b41
612;Eunício Lopes de Oliveira;Eunício Oliveira;d9fa33a2-cbab-4522-a06c-be172f628cba
4525;Fernando Affonso Collor de Mello;Fernando Collor;2ce35360-bdb0-4b8d-b4d9-62d5e8874387
4873;José Eduardo Fleury Fernandes Costa;Fleury;f0e9dd91-8e4b-4b36-8dcb-d5700ea7f9de
5587;Eladio Barbosa Carneiro;Eladio Carneiro;5c4ab8b1-9794-4c58-a770-c2b704daa302
5126;Enivaldo Euzébio dos Anjos;Enivaldo Euzébio dos Anjos;3908c89b-ec45-42b0-9925-d004e523a6d9
5605;Eliane Rodrigues de Andrade Ferreira;Eliane Rodrigues;2b1e8668-aa79-45c0-9a7c-b864a8367a9d
4969;Elber Batalha de Goes;Elber Batalha;dfba90e4-eaf2-468d-97e9-9c830f05db1e
5148;Elmiro Alves do Nascimento;Elmiro Alves do Nascimento;8def65cf-e8d9-4fd3-bebb-9774e6614638
5064;Emir Simão Sader;Emir Simão Sader;91fea363-a6d4-4dbb-9c2c-b1c80775d6e4
5146;Elaine Matozinhos Ribeiro;Elaine Matozinhos Ribeiro;1b6b9c06-c92a-4547-9f78-6c62a18b85a4
5531;Elmano Férrer de Almeida;Elmano Férrer;e9150cca-36bd-4298-bada-28942dd280e3
4994;Carlos Eduardo de Souza Braga;Eduardo Braga;ffe72b4f-b2e3-42c8-875a-601a30600538
4721;Eduardo Alves do Amorim;Eduardo Amorim;3d892c4d-052a-46bd-8847-cc935bb8adf2
4767;Eduardo Benedito Lopes;Eduardo Lopes;e671d8ef-8e79-47b2-b1fa-dfd4cea75944
5160;Edivaldo Edilson Pantoja da Silva;Edivaldo Edilson Pantoja da Silva;3aa6b5af-c37c-4631-b482-a2c71fb2cab8
5565;Francisco Helder Cavalcante Sousa;Dr. Helder Cavalcante;97736016-a639-4e13-a281-2f26af24e495
5561;Renilde Silva Bulhões Barros;Drª Renilde;f60ba349-5f56-4cd5-ab98-ab31f6f85926
5537;Dário Elias Berger;Dário Berger;96b4bf37-678b-4552-b30f-c2d2d64e1dfa
16;Edison Lobão;Edison Lobão;d50c64b3-4031-4e61-a219-c8eabb39eb34
3399;Demóstenes Lazaro Xavier Torres;Demóstenes Torres;323eade8-ad86-4322-a9f4-edc7db6be5e0
5637;Divino Donizeti Borges Nogueira;Donizeti Nogueira;26e93f13-0899-4a06-b684-931bac937d99
5178;Douglas Mauricio Ramos Cintra;Douglas Cintra;6e37f769-2871-4b6a-80d6-0ab40a956d07
5197;Cássio Rodrigues da Cunha Lima;Cássio Cunha Lima;0b4bf62f-3a36-4ca1-83da-3ae071c0018f
3360;Delcídio do Amaral Gomez;Delcídio do Amaral;e21da72c-1939-45a5-9528-a41949699ace
5132;Dalírio José Beber;Dalirio Beber;93531812-8d15-481b-8c07-46c26acd81cc
5199;José Gonzaga Sobrinho;Deca;4aa239d8-25b4-4940-8c71-a64b12c8d87b
3830;David Samuel Alcolumbre Tobelem;Davi Alcolumbre;07f847e4-d922-43f0-b007-12fb3ab27736
1757;Ivandro Moura Cunha Lima;Cunha Lima;b1aa0127-ceca-4d4c-a221-348408a4374b
3398;Cristovam Ricardo Cavalcanti Buarque;Cristovam Buarque;a2ab273d-7384-41f2-aae2-d6270780e2e7
739;Ciro Nogueira Lima Filho;Ciro Nogueira;c65cb03f-e5db-4c97-81db-0bbc41d8710d
5044;Clécio Luis Vilhena Vieira;Clécio Luis Vilhena Vieira;f7d3712b-72e9-48b9-83f0-e7c588515ae6
3881;Clovis Antônio Chaves Fecury;Clovis Fecury;a7aa65e6-b402-470d-92a8-924208405885
5623;Christopher Belchior Goulart;Christopher Goulart;3076a4ae-bba7-4a73-aaae-a8783214f8a3
611;Francisco Feitosa de Albuquerque Lima;Chiquinho Feitosa;653c5c25-f40c-4e55-a7c5-9ecb865815e1
5108;José Aparecido dos Santos;Cidinho Santos;292dcd08-fba4-4781-a56d-0eeeea25c664
5150;Antonio Carlos Rodrigues;Antonio Carlos Rodrigues;b7236a19-df46-40c2-8104-aa91ad1dc949
5032;Antônio Milton Pessoa Falcão Filho;Antônio Milton Pessoa Falcão Filho;505b5b34-4802-4fc0-8145-501553d3fd52
5042;Alzira Ferreira Barros;Alzira Ferreira Barros;9d602859-e7a6-48eb-a39b-f7ec33fdbb96
5134;Antônio Marcos Gavazzoni;Antônio Marcos Gavazzoni;2d60bd52-f6cd-4c96-a2a9-9dca8f411283
4988;Ana Amélia de Lemos;Ana Amélia;5dbe2d42-820f-4bba-b1ac-6d2c3a33d065
5529;Antonio Augusto Junho Anastasia;Antonio Anastasia;51c83354-5226-4e91-9984-1c110483157e
3;Antonio Carlos Valadares;Antonio Carlos Valadares;50999cc5-f16c-4370-b2ca-75bd44522a4d
5046;Andrelina Barbosa da Cunha;Andrelina Barbosa da Cunha;f4609586-5c90-4532-8112-3b1910936088
5607;Maria Alzenir Porto da Costa;Alzenir Porto;e4b81f08-41d9-498a-b6ea-ba3dbdc8d7d5
945;Alvaro Fernandes Dias;Alvaro Dias;90d4e356-2cf1-47d1-bbd3-3f78c36fffb6
5140;Airton Sandoval Santana;Airton Sandoval;5ef8ebb5-c990-43f4-8945-72f40bff68e2
5625;Adilson Silva dos Santos;Adilson Silva dos Santos;5ad5f314-cb00-4c1f-b202-fa9895429641
